YEAR,MONTH,Date,Transfer Station,COMMODITY,TONS,TRIPS,SECTOR
2009,9,09/17/2009,South Transfer Station,Organics,48.85,7,Residential
2009,9,09/18/2009,South Transfer Station,Garbage,276.667665,52,Residential
2009,9,09/21/2009,South Transfer Station,Garbage,283.973831,57,Residential
2009,9,09/22/2009,South Transfer Station,Garbage,21.658978,11,Residential
2009,9,09/22/2009,North Transfer Station,Organics,85.5,13,Residential
2009,9,09/23/2009,South Transfer Station,Organics,37.43,7,Residential
2009,9,09/24/2009,North Transfer Station,Garbage,111.129253,29,Residential
2009,9,09/25/2009,North Transfer Station,Garbage,167.54647,38,Residential
2009,9,09/25/2009,South Transfer Station,Garbage,273.484356,47,Residential
2009,9,09/27/2009,South Transfer Station,Recycling,2.982386,1,Residential
2009,9,09/28/2009,South Transfer Station,Organics,29.78,6,Residential
2009,9,09/30/2009,South Transfer Station,Garbage,16.974005,11,Residential
2009,10,10/05/2009,South Transfer Station,Garbage,326.325206,62,Residential
2009,10,10/06/2009,North Transfer Station,Garbage,137.340758,39,Residential
2009,10,10/07/2009,South Transfer Station,Garbage,13.362334,8,Residential
2009,10,10/09/2009,South Transfer Station,Garbage,30.340356,12,Residential
2009,10,10/09/2009,South Transfer Station,Organics,42.57,8,Residential
2009,10,10/10/2009,South Transfer Station,Garbage,4.118941,6,Residential
2009,10,10/13/2009,South Transfer Station,Garbage,15.358526,8,Residential
2009,10,10/13/2009,South Transfer Station,Recycling,297.977143,71,Residential
2009,10,10/14/2009,South Transfer Station,Garbage,263.390971,50,Residential
2009,10,10/14/2009,South Transfer Station,Recycling,301.148729,69,Residential
2009,10,10/15/2009,North Transfer Station,Garbage,91.915979,26,Residential
2009,10,10/19/2009,South Transfer Station,Garbage,12.435245,7,Residential
2009,10,10/20/2009,South Transfer Station,Garbage,271.808207,54,Residential
2009,10,10/20/2009,South Transfer Station,Recycling,303.306771,74,Residential
2009,10,10/20/2009,South Transfer Station,Organics,142.61268,24,Residential
2009,10,10/21/2009,South Transfer Station,Recycling,291.953419,67,Residential
2009,10,10/21/2009,North Transfer Station,Organics,90.23,16,Residential
2009,10,10/22/2009,South Transfer Station,Organics,132.549315,23,Residential
2009,10,10/23/2009,South Transfer Station,Recycling,309.561093,70,Residential
2009,10,10/23/2009,North Transfer Station,Organics,64.52,13,Residential
2009,10,10/24/2009,South Transfer Station,Garbage,3.627288,7,Residential
2009,10,10/24/2009,South Transfer Station,Recycling,2.187945,1,Residential
2009,10,10/26/2009,South Transfer Station,Garbage,22.460199,9,Residential
2009,10,10/27/2009,North Transfer Station,Garbage,170.328261,40,Residential
2009,10,10/28/2009,South Transfer Station,Garbage,245.629499,49,Residential
2009,10,10/29/2009,North Transfer Station,Garbage,102.795744,29,Residential
2009,10,10/29/2009,North Transfer Station,Organics,101.7,17,Residential
2009,10,10/29/2009,South Transfer Station,Organics,175.361508,25,Residential
2009,10,10/30/2009,North Transfer Station,Organics,95.59,16,Residential
2009,10,10/30/2009,South Transfer Station,Organics,127.86585,22,Residential
2009,10,10/31/2009,South Transfer Station,Garbage,4.337556,7,Residential
2009,11,11/03/2009,South Transfer Station,Garbage,288.879385,51,Residential
2009,11,11/04/2009,South Transfer Station,Garbage,8.876362,8,Residential
2009,11,11/05/2009,South Transfer Station,Garbage,19.888798,14,Residential
2009,11,11/05/2009,South Transfer Station,Recycling,321.439222,70,Residential
2009,11,11/06/2009,North Transfer Station,Garbage,177.996094,39,Residential
2009,11,11/06/2009,North Transfer Station,Organics,174.78,25,Residential
2009,11,11/08/2009,South Transfer Station,Garbage,0.16157,2,Residential
2009,11,11/09/2009,South Transfer Station,Recycling,377.866916,73,Residential
2009,11,11/10/2009,North Transfer Station,Garbage,206.131653,45,Residential
2009,11,11/11/2009,South Transfer Station,Garbage,7.866065,8,Residential
2009,11,11/12/2009,South Transfer Station,Organics,165.240961,25,Residential
2009,11,11/13/2009,South Transfer Station,Garbage,302.233947,52,Residential
2009,11,11/13/2009,South Transfer Station,Recycling,314.495215,67,Residential
2009,11,11/14/2009,South Transfer Station,Recycling,1.984875,1,Residential
2009,11,11/17/2009,North Transfer Station,Garbage,209.599756,46,Residential
2009,11,11/17/2009,South Transfer Station,Recycling,363.532837,71,Residential
2009,11,11/17/2009,South Transfer Station,Organics,210.673868,32,Residential
2009,3,03/30/2009,North Transfer Station,Garbage,90.470396,20,Residential
2009,3,03/31/2009,South Transfer Station,Recycling,5.22,1,Residential
2009,3,03/31/2009,South Transfer Station,Recycling,108.01489,32,Residential
2009,4,04/01/2009,South Transfer Station,Garbage,109.48036,33,Residential
2009,4,04/03/2009,South Transfer Station,Garbage,261.401006,52,Residential
2009,4,04/06/2009,South Transfer Station,Garbage,95.8285,20,Residential
2009,4,04/09/2009,South Transfer Station,Garbage,196.17394,37,Residential
2009,4,04/09/2009,South Transfer Station,Organics,175.64,25,Residential
2009,4,04/10/2009,South Transfer Station,Organics,214.23,34,Residential
2009,4,04/12/2009,South Transfer Station,Garbage,1.307574,6,Residential
2009,4,04/13/2009,North Transfer Station,Garbage,84.48828,14,Residential
2009,4,04/13/2009,South Transfer Station,Organics,67.394796,10,Residential
2009,4,04/14/2009,South Transfer Station,Garbage,312.028465,57,Residential
2009,4,04/15/2009,South Transfer Station,Recycling,2.53,2,Residential
2009,4,04/15/2009,South Transfer Station,Organics,105.7,24,Residential
2009,4,04/17/2009,South Transfer Station,Garbage,275.050375,51,Residential
2009,4,04/17/2009,South Transfer Station,Recycling,308.571017,72,Residential
2009,4,04/17/2009,South Transfer Station,Organics,63.22,10,Residential
2009,4,04/18/2009,South Transfer Station,Garbage,1.475685,3,Residential
2009,4,04/19/2009,South Transfer Station,Garbage,0,2,Residential
2009,4,04/19/2009,South Transfer Station,Organics,0,1,Residential
2009,4,04/20/2009,South Transfer Station,Garbage,175.499086,36,Residential
2009,4,04/22/2009,North Transfer Station,Organics,177.15,24,Residential
2009,4,04/24/2009,North Transfer Station,Garbage,70.50999,15,Residential
2009,4,04/24/2009,South Transfer Station,Recycling,277.266746,68,Residential
2009,4,04/27/2009,South Transfer Station,Garbage,87.134517,16,Residential
2009,4,04/29/2009,South Transfer Station,Garbage,0.65,1,Residential
2009,5,05/02/2009,South Transfer Station,Garbage,5.07251,8,Residential
2009,5,05/02/2009,South Transfer Station,Organics,0.28688,1,Residential
2011,2,02/02/2011,South Transfer Station,Organics,34.32,7,Residential
2011,2,02/03/2011,South Transfer Station,Recycling,280.267051,71,Residential
2011,2,02/03/2011,South Transfer Station,Organics,99.181794,30,Residential
2011,2,02/04/2011,North Transfer Station,Organics,46.53,10,Residential
2011,2,02/07/2011,South Transfer Station,Garbage,236.911072,60,Residential
2011,2,02/07/2011,South Transfer Station,Organics,90.367802,26,Residential
2011,2,02/09/2011,North Transfer Station,Organics,45.54,10,Residential
2011,2,02/10/2011,South Transfer Station,Recycling,0.08892,1,Residential
2011,2,02/10/2011,North Transfer Station,Organics,36.71,10,Residential
2011,2,02/10/2011,South Transfer Station,Organics,29.91,7,Residential
2011,2,02/11/2011,South Transfer Station,Garbage,231.402309,48,Residential
2011,2,02/13/2011,South Transfer Station,Recycling,2.47425,1,Residential
2011,2,02/14/2011,South Transfer Station,Garbage,5.929668,6,Residential
2011,2,02/14/2011,South Transfer Station,Organics,131.54727,27,Residential
2011,2,02/15/2011,North Transfer Station,Organics,47.75,10,Residential
2011,2,02/17/2011,South Transfer Station,Recycling,271.779989,72,Residential
2011,2,02/17/2011,South Transfer Station,Organics,35.03,7,Residential
2011,2,02/18/2011,South Transfer Station,Recycling,271.873357,70,Residential
2011,2,02/20/2011,South Transfer Station,Garbage,0.080655,1,Residential
2011,2,02/20/2011,South Transfer Station,Garbage,3.377311,3,Residential
2011,2,02/21/2011,South Transfer Station,Organics,105.573538,26,Residential
2011,2,02/22/2011,North Transfer Station,Garbage,185.365468,59,Residential
2011,2,02/25/2011,South Transfer Station,Recycling,267.733082,75,Residential
2011,2,02/26/2011,South Transfer Station,Garbage,4.428528,4,Residential
2011,2,02/26/2011,South Transfer Station,Recycling,0.984744,1,Residential
2011,2,02/27/2011,North Transfer Station,Garbage,0.015664,1,Residential
2011,2,02/28/2011,North Transfer Station,Organics,35.29,11,Residential
2011,3,03/01/2011,South Transfer Station,Garbage,291.081445,70,Residential
2011,3,03/01/2011,South Transfer Station,Organics,62.780658,28,Residential
2011,3,03/02/2011,North Transfer Station,Garbage,159.156542,51,Residential
2011,3,03/03/2011,North Transfer Station,Garbage,142.926382,48,Residential
2011,3,03/04/2011,North Transfer Station,Garbage,185.243341,55,Residential
2011,3,03/04/2011,North Transfer Station,Organics,37.32,11,Residential
2011,3,03/06/2011,North Transfer Station,Garbage,0.212607,2,Residential
2011,3,03/06/2011,South Transfer Station,Garbage,1.25326,1,Residential
2011,3,03/07/2011,South Transfer Station,Garbage,14.903569,10,Residential
2011,3,03/08/2011,North Transfer Station,Garbage,191.455313,63,Residential
2011,3,03/09/2011,North Transfer Station,Garbage,150.720368,52,Residential
2011,3,03/09/2011,South Transfer Station,Garbage,266.415778,60,Residential
2011,3,03/11/2011,South Transfer Station,Organics,22.25,5,Residential
2011,3,03/13/2011,South Transfer Station,Garbage,0.958237,1,Residential
2011,3,03/13/2011,South Transfer Station,Recycling,0.656909,1,Residential
2011,3,03/14/2011,North Transfer Station,Organics,35.11,9,Residential
2011,3,03/14/2011,South Transfer Station,Organics,88.277197,28,Residential
2011,3,03/16/2011,South Transfer Station,Garbage,19.330993,16,Residential
2011,3,03/16/2011,South Transfer Station,Organics,76.561194,26,Residential
2011,3,03/20/2011,South Transfer Station,Recycling,2.543967,1,Residential
2011,3,03/21/2011,South Transfer Station,Recycling,0.28872,1,Residential
2011,3,03/25/2011,North Transfer Station,Organics,77.19,12,Residential
2011,3,03/29/2011,South Transfer Station,Organics,154.436664,26,Residential
2011,4,04/01/2011,South Transfer Station,Garbage,18.581977,11,Residential
2011,4,04/03/2011,South Transfer Station,Recycling,2.475738,1,Residential
2011,4,04/04/2011,South Transfer Station,Organics,35.85,6,Residential
2011,4,04/06/2011,South Transfer Station,Recycling,287.163574,76,Residential
2011,4,04/07/2011,South Transfer Station,Garbage,260.777514,62,Residential
2011,4,04/07/2011,North Transfer Station,Organics,88.22,13,Residential
2011,4,04/08/2011,North Transfer Station,Garbage,182.49921,54,Residential
2011,4,04/08/2011,North Transfer Station,Organics,69.85,13,Residential
2011,4,04/08/2011,South Transfer Station,Organics,34.58,6,Residential
2011,4,04/11/2011,South Transfer Station,Recycling,0.15836,1,Residential
2011,4,04/13/2011,South Transfer Station,Garbage,255.326614,62,Residential
2011,4,04/14/2011,South Transfer Station,Recycling,280.005508,79,Residential
2011,4,04/15/2011,South Transfer Station,Garbage,256.283188,60,Residential
2011,4,04/15/2011,South Transfer Station,Recycling,290.723878,79,Residential
2011,4,04/18/2011,North Transfer Station,Garbage,181.663482,64,Residential
2011,4,04/19/2011,South Transfer Station,Garbage,250.023977,59,Residential
2011,4,04/19/2011,South Transfer Station,Recycling,0.0468,1,Residential
2011,4,04/20/2011,North Transfer Station,Organics,150.37,22,Residential
2011,4,04/21/2011,South Transfer Station,Organics,191.985653,31,Residential
2011,4,04/25/2011,South Transfer Station,Garbage,236.133826,58,Residential
2011,4,04/25/2011,South Transfer Station,Recycling,0.124184,1,Residential
2011,4,04/25/2011,South Transfer Station,Organics,40.24,6,Residential
2011,4,04/27/2011,South Transfer Station,Recycling,0.02511,1,Residential
2011,4,04/28/2011,South Transfer Station,Garbage,11.750071,14,Residential
2011,4,04/30/2011,South Transfer Station,Garbage,1.288011,3,Residential
2011,4,04/30/2011,South Transfer Station,Recycling,2.477862,2,Residential
2011,5,05/01/2011,South Transfer Station,Garbage,0.513383,2,Residential
2011,5,05/01/2011,South Transfer Station,Organics,1.779453,2,Residential
2011,5,05/02/2011,North Transfer Station,Garbage,163.587984,55,Residential
2011,5,05/03/2011,South Transfer Station,Garbage,323.589943,75,Residential
2011,5,05/03/2011,North Transfer Station,Organics,178.87,26,Residential
2011,5,05/05/2011,South Transfer Station,Organics,219.853832,31,Residential
2011,5,05/07/2011,South Transfer Station,Garbage,4.320361,4,Residential
2011,5,05/07/2011,South Transfer Station,Recycling,0.980992,1,Residential
2011,5,05/07/2011,South Transfer Station,Recycling,2.957099,2,Residential
2011,5,05/08/2011,South Transfer Station,Recycling,3.048584,1,Residential
2011,5,05/11/2011,South Transfer Station,Garbage,366.959008,95,Residential
2011,5,05/12/2011,South Transfer Station,Organics,105.56,21,Residential
2011,5,05/15/2011,South Transfer Station,Garbage,0.254473,2,Residential
2011,5,05/16/2011,South Transfer Station,Organics,136.53,19,Residential
2011,5,05/24/2011,North Transfer Station,Garbage,54.333181,20,Residential
2011,5,05/25/2011,North Transfer Station,Garbage,53.75763,20,Residential
2011,5,05/25/2011,South Transfer Station,Garbage,20.136868,12,Residential
2011,5,05/25/2011,South Transfer Station,Recycling,305.609659,73,Residential
2011,5,05/26/2011,South Transfer Station,Garbage,351.991522,87,Residential
2011,5,05/27/2011,South Transfer Station,Garbage,371.169303,87,Residential
2011,5,05/27/2011,South Transfer Station,Organics,121.51,20,Residential
2011,5,05/28/2011,South Transfer Station,Recycling,1.2632,1,Residential
2011,5,05/30/2011,South Transfer Station,Organics,260.449272,39,Residential
2011,6,06/01/2011,South Transfer Station,Garbage,31.547336,14,Residential
2011,6,06/01/2011,South Transfer Station,Recycling,0.05371,1,Residential
2011,6,06/01/2011,North Transfer Station,Organics,107.24,14,Residential
2011,6,06/02/2011,North Transfer Station,Garbage,13.085546,7,Residential
2011,6,06/02/2011,South Transfer Station,Garbage,5.527348,8,Residential
2011,6,06/02/2011,South Transfer Station,Recycling,0.042478,1,Residential
2011,6,06/02/2011,South Transfer Station,Organics,150.61,23,Residential
2011,6,06/03/2011,South Transfer Station,Garbage,389.156627,93,Residential
2011,6,06/03/2011,North Transfer Station,Organics,69.34,10,Residential
2011,6,06/04/2011,South Transfer Station,Garbage,0.221863,2,Residential
2011,6,06/04/2011,South Transfer Station,Recycling,1.128681,1,Residential
2011,6,06/05/2011,South Transfer Station,Garbage,0.353918,1,Residential
2011,6,06/06/2011,South Transfer Station,Garbage,10.621338,9,Residential
2011,6,06/08/2011,North Transfer Station,Garbage,44.037272,18,Residential
2011,6,06/10/2011,South Transfer Station,Garbage,369.435967,85,Residential
2011,6,06/10/2011,South Transfer Station,Organics,240.561648,39,Residential
2011,6,06/11/2011,North Transfer Station,Garbage,1.50894,3,Residential
2011,6,06/11/2011,South Transfer Station,Garbage,0.56174,2,Residential
2011,6,06/12/2011,South Transfer Station,Garbage,0.760495,2,Residential
2011,6,06/13/2011,North Transfer Station,Organics,99.78,16,Residential
2011,6,06/14/2011,North Transfer Station,Garbage,63.787295,23,Residential
2011,6,06/15/2011,South Transfer Station,Recycling,0.056642,1,Residential
2011,6,06/16/2011,North Transfer Station,Garbage,29.088387,12,Residential
2011,6,06/16/2011,South Transfer Station,Garbage,13.208033,9,Residential
2011,6,06/18/2011,South Transfer Station,Garbage,5.788296,7,Residential
2011,6,06/20/2011,South Transfer Station,Garbage,8.09983,9,Residential
2011,6,06/22/2011,South Transfer Station,Garbage,358.019213,95,Residential
2011,6,06/22/2011,South Transfer Station,Recycling,0.065394,1,Residential
2011,6,06/24/2011,South Transfer Station,Garbage,368.249743,86,Residential
2011,6,06/25/2011,South Transfer Station,Recycling,2.69,1,Residential
2011,6,06/27/2011,South Transfer Station,Organics,246.086037,40,Residential
2011,6,06/28/2011,South Transfer Station,Garbage,19.079563,14,Residential
2011,6,06/29/2011,South Transfer Station,Recycling,0.104482,1,Residential
2011,6,06/30/2011,South Transfer Station,Garbage,27.899126,15,Residential
2011,7,07/01/2011,South Transfer Station,Organics,216.396896,35,Residential
2011,7,07/02/2011,South Transfer Station,Recycling,1.205548,1,Residential
2011,7,07/04/2011,South Transfer Station,Organics,167.59,28,Residential
2011,7,07/05/2011,South Transfer Station,Recycling,0.11675,1,Residential
2011,7,07/06/2011,South Transfer Station,Recycling,307.898576,75,Residential
2011,7,07/07/2011,South Transfer Station,Garbage,29.339308,17,Residential
2011,7,07/07/2011,South Transfer Station,Recycling,0.034542,1,Residential
2011,7,07/07/2011,North Transfer Station,Organics,119.85,16,Residential
2011,7,07/07/2011,South Transfer Station,Organics,98.17,19,Residential
2011,7,07/08/2011,North Transfer Station,Garbage,74.977214,22,Residential
2011,7,07/08/2011,South Transfer Station,Garbage,377.351253,84,Residential
2011,7,07/09/2011,South Transfer Station,Garbage,0.216688,2,Residential
2011,7,07/09/2011,South Transfer Station,Garbage,9.867073,8,Residential
2011,7,07/11/2011,South Transfer Station,Organics,231.004387,39,Residential
2011,7,07/12/2011,South Transfer Station,Recycling,0.040095,1,Residential
2011,7,07/13/2011,South Transfer Station,Garbage,351.761924,91,Residential
2011,7,07/15/2011,North Transfer Station,Organics,64.89,11,Residential
2011,7,07/19/2011,North Transfer Station,Garbage,86.475746,34,Residential
2011,7,07/19/2011,South Transfer Station,Recycling,318.448204,75,Residential
2011,7,07/21/2011,South Transfer Station,Garbage,344.29478,85,Residential
2011,7,07/22/2011,South Transfer Station,Garbage,374.383519,90,Residential
2011,7,07/24/2011,South Transfer Station,Garbage,0.604367,2,Residential
2011,7,07/24/2011,South Transfer Station,Organics,0.334997,2,Residential
2011,7,07/25/2011,South Transfer Station,Organics,87.24,14,Residential
2011,7,07/26/2011,North Transfer Station,Garbage,88.493653,32,Residential
2011,7,07/27/2011,South Transfer Station,Garbage,354.704572,90,Residential
2011,7,07/27/2011,South Transfer Station,Organics,80.43,15,Residential
2011,7,07/27/2011,South Transfer Station,Organics,171.470515,27,Residential
2011,7,07/29/2011,North Transfer Station,Organics,73.76,11,Residential
2011,7,07/30/2011,North Transfer Station,Garbage,1.472565,2,Residential
2011,7,07/30/2011,South Transfer Station,Garbage,3.561118,4,Residential
2011,7,07/31/2011,South Transfer Station,Garbage,0.64075,2,Residential
2011,7,07/31/2011,South Transfer Station,Garbage,0.896544,1,Residential
2011,8,08/01/2011,South Transfer Station,Garbage,367.727993,90,Residential
2011,8,08/01/2011,South Transfer Station,Recycling,3.56606,2,Residential
2011,8,08/01/2011,South Transfer Station,Recycling,322.481272,75,Residential
2011,8,08/03/2011,North Transfer Station,Garbage,81.455454,25,Residential
2011,8,08/03/2011,South Transfer Station,Recycling,0.05576,1,Residential
2011,8,08/04/2011,South Transfer Station,Organics,66.23,14,Residential
2011,8,08/05/2011,North Transfer Station,Organics,63.97,10,Residential
2011,8,08/06/2011,South Transfer Station,Recycling,0.777999,1,Residential
2011,8,08/09/2011,North Transfer Station,Organics,80.84,15,Residential
2011,8,08/10/2011,South Transfer Station,Garbage,351.598116,92,Residential
2011,8,08/10/2011,South Transfer Station,Organics,64.61,14,Residential
2011,8,08/11/2011,North Transfer Station,Garbage,53.497444,19,Residential
2011,8,08/12/2011,South Transfer Station,Recycling,297.235288,74,Residential
2011,8,08/12/2011,South Transfer Station,Organics,114.661668,22,Residential
2011,8,08/13/2011,South Transfer Station,Organics,1.500405,2,Residential
2011,8,08/14/2011,South Transfer Station,Garbage,0.818732,1,Residential
2011,8,08/15/2011,South Transfer Station,Organics,68.66,14,Residential
2011,8,08/16/2011,South Transfer Station,Organics,182.392407,31,Residential
